Coach,W,University
Joe Paterno,24,Penn State
Bobby Bowden,22,Florida State West Virginia
Nick Saban,17,Alabama LSU Michigan State Toledo
Bear Bryant,15,Alabama Kentucky Maryland Texas A&M
Mack Brown,14,North Carolina Texas Tulane
Lou Holtz,12,Arkansas Minnesota North Carolina State Notre Dame South Carolina William & Mary
Urban Meyer,12,Bowling Green State Florida Ohio State Utah
Tom Osborne,12,Nebraska
Frank Beamer,11,Virginia Tech
Gary Patterson,11,Texas Christian
Steve Spurrier,11,Duke Florida South Carolina
Kyle Whittingham,11,Utah
Mike Gundy,10,Oklahoma State
Don James,10,Kent State Washington
Mark Richt,10,Georgia Miami (FL)
Dabo Swinney,10,Clemson
John Vaught,10,Ole Miss
Barry Alvarez,9,Wisconsin
Bobby Dodd,9,Georgia Tech
Kirk Ferentz,9,Iowa
Johnny Majors,9,Iowa State Pitt Tennessee
Les Miles,9,Kansas LSU Oklahoma State
Bill Snyder,9,Kansas State
Bob Stoops,9,Oklahoma
Terry Donahue,8,UCLA
Vince Dooley,8,Georgia
Jimbo Fisher,8,Florida State Texas A&M
Phillip Fulmer,8,Tennessee
Skip Holtz,8,East Carolina Louisiana Tech South Florida
Mike Leach,8,Mississippi State Texas Tech Washington State
Tom O'Brien,8,Boston College North Carolina State
John Robinson,8,UNLV USC
Darrell Royal,8,Mississippi State Texas Washington
Jackie Sherrill,8,Mississippi State Pitt Texas A&M Washington State
Barry Switzer,8,Oklahoma
Pete Carroll,7,USC
David Cutcliffe,7,Duke Ole Miss
Mark Dantonio,7,Cincinnati Michigan State
Bob Devaney,7,Nebraska Wyoming
Dan Devine,7,Arizona State Missouri Notre Dame
Pat Dye,7,Auburn East Carolina Wyoming
LaVell Edwards,7,Brigham Young
Hayden Fry,7,Iowa North Texas SMU
June Jones,7,Hawaii SMU
Brian Kelly,7,Central Michigan Cincinnati Notre Dame
Charles McClendon,7,LSU
Bronco Mendenhall,7,Brigham Young Virginia
Dan Mullen,7,Florida Mississippi State
