Rk,Coach,W,School
1,Joe Paterno,409,Penn State
2,Bobby Bowden,357,Florida State West Virginia
3,Bear Bryant,323,Alabama Kentucky Maryland Texas A&M
4,Pop Warner,311,Carlisle Cornell Pitt Stanford Temple
5,Amos Alonzo Stagg,282,Chicago Pacific Springfield
6,Nick Saban*,261,Alabama LSU Michigan State Toledo
7,LaVell Edwards,257,Brigham Young
8,Tom Osborne,255,Nebraska
9,Mack Brown*,253,North Carolina Texas Tulane
10,Lou Holtz,249,Arkansas Minnesota North Carolina State Notre Dame South Carolina William & Mary
11,Frank Beamer,238,Virginia Tech
12,Bo Schembechler,234,Miami (OH) Michigan
13,Hayden Fry,230,Iowa North Texas SMU
14,Steve Spurrier,228,Duke Florida South Carolina
15,Bill Snyder,215,Kansas State
16,Woody Hayes,205,Ohio State
17,Don Nehlen,202,Bowling Green State West Virginia
18,Vince Dooley,201,Georgia
19,Dan McGugin,197,Vanderbilt
20,John Cooper,192,Arizona State Ohio State Tulsa
21,Gary Pinkel,191,Missouri Toledo
22,Dana Bible,190,LSU Mississippi College Nebraska Texas Texas A&M
,Bob Stoops,190,Oklahoma
,John Vaught,190,Ole Miss
25,George Welsh,189,Navy Virginia
26,Howard Jones,188,Duke Iowa USC Syracuse Yale
27,Urban Meyer,187,Bowling Green State Florida Ohio State Utah
,Jess Neely,187,Clemson Rice
29,Johnny Majors,185,Iowa State Pitt Tennessee
30,Darrell Royal,184,Mississippi State Texas Washington
31,Dick Tomey,183,Arizona Hawaii San Jose State
32,Jerry Claiborne,179,Kentucky Maryland Virginia Tech
,Jackie Sherrill,179,Mississippi State Pitt Texas A&M Washington State
34,Gary Patterson*,178,Texas Christian
35,Frank Kush,176,Arizona State
36,Don James,175,Kent State Washington
,Ralph Jordan,175,Auburn
38,Bob Neyland,173,Tennessee
,Frank Solich*,173,Nebraska Ohio
40,Dan Devine,172,Arizona State Missouri Notre Dame
41,Mark Richt,171,Georgia Miami (FL)
,Wallace Wade,171,Alabama Duke
43,Fisher DeBerry,169,Air Force
,Jim Sweeney,169,Fresno State Washington State
45,Kirk Ferentz*,168,Iowa
,Ken Hatfield,168,Air Force Arkansas Clemson Rice
47,Bill Mallory,167,Colorado Indiana Miami (OH) Northern Illinois
48,Red Blaik,166,Army Dartmouth
49,Bobby Dodd,165,Georgia Tech
,Frank Howard,165,Clemson
,Fielding Yost,165,Michigan
52,Bob Blackman,164,Cornell Dartmouth Denver Illinois
53,Bill Dooley,161,North Carolina Virginia Tech Wake Forest
54,Bill Yeoman,160,Houston
55,Tommy Tuberville,159,Auburn Cincinnati Ole Miss Texas Tech
56,Barry Switzer,157,Oklahoma
,Pappy Waldorf,157,California Kansas State Northwestern Oklahoma State
58,Brian Kelly*,155,Central Michigan Cincinnati Notre Dame
